LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
2,10,449800,6.4958e+06,-6.046e+06,138,31.1594,43,95,3259.42,151065,-63642.1,2.37367,4,12,15.5349,5.07368,-1.371e+06,1.0744,38.6227,0
2,11,362800,6.321e+06,-5.9582e+06,133,30.0752,40,93,2727.82,158025,-64066.7,2.46657,4,12,16.275,5.29032,-1.463e+06,1.06089,31.163,0
2,12,397600,6.2828e+06,-5.8852e+06,128,30.4688,39,89,3106.25,161097,-66125.8,2.43623,4,12,17.1538,5.25843,-1.477e+06,1.06756,33.7464,0
2,13,252800,6.2002e+06,-5.9474e+06,124,31.4516,39,85,2038.71,158979,-69969.4,2.27213,4,10,17.2051,5.4,-1.5578e+06,1.04251,20.0794,0
2,14,128400,6.0738e+06,-5.9454e+06,122,31.9672,39,83,1052.46,155738,-71631.3,2.17417,4,10,17.2821,5.45783,-1.5658e+06,1.0216,10.1342,0
2,15,144200,5.9258e+06,-5.7816e+06,119,32.7731,39,80,1211.76,151944,-72270,2.10244,4,10,17.359,5.525,-1.6246e+06,1.02494,10.8765,0
2,16,549200,6.2494e+06,-5.7002e+06,116,32.7586,38,78,4734.48,164458,-73079.5,2.2504,4,10,17.8684,5.52564,-1.6698e+06,1.09635,40.0584,0
2,17,891800,6.2384e+06,-5.3466e+06,111,33.3333,37,74,8034.23,168605,-72251.4,2.3336,4,10,18.9189,5.44595,-1.5178e+06,1.1668,73.1583,0
2,18,1.1804e+06,6.1696e+06,-4.9892e+06,104,34.6154,36,68,11350,171378,-73370.6,2.33578,6,10,18.9167,6.07353,-1.5486e+06,1.23659,94.4471,0
2,19,1.0512e+06,6.0786e+06,-5.0274e+06,104,34.6154,36,68,10107.7,168850,-73932.4,2.28384,6,10,18.9444,6.05882,-1.6166e+06,1.20909,79.7693,0
2,20,971400,5.8992e+06,-4.9278e+06,102,36.2745,37,65,9523.53,159438,-75812.3,2.10306,6,10,18.0811,6.46154,-1.7006e+06,1.19713,69.2966,0
2,21,913800,5.7866e+06,-4.8728e+06,100,33,33,67,9138,175352,-72728.4,2.41105,6,10,19.0909,6.83582,-1.813e+06,1.18753,60.0079,0
2,22,870200,5.6822e+06,-4.812e+06,99,31.3131,31,68,8789.9,183297,-70764.7,2.59023,6,10,20.0323,6.89706,-1.8222e+06,1.18084,56.8016,0
2,23,700000,5.6494e+06,-4.9494e+06,99,30.303,30,69,7070.71,188313,-71730.4,2.62529,6,10,20.5333,6.85507,-1.9366e+06,1.14143,42.517,0
2,24,623200,5.6238e+06,-5.0006e+06,99,28.2828,28,71,6294.95,200850,-70431,2.85173,4,10,20.6071,7.21127,-1.957e+06,1.12463,37.389,0
2,25,957600,5.6304e+06,-4.6728e+06,94,29.7872,28,66,10187.2,201086,-70800,2.84019,4,10,19.7857,8.09091,-1.7016e+06,1.20493,67.8475,0
2,26,1.1248e+06,5.5954e+06,-4.4706e+06,91,29.6703,27,64,12360.4,207237,-69853.1,2.96675,4,10,21.4444,7.84375,-1.5148e+06,1.2516,92.5,0
2,27,1.0736e+06,5.5866e+06,-4.513e+06,91,28.5714,26,65,11797.8,214869,-69430.8,3.09473,4,10,21.0769,8.2,-1.5148e+06,1.23789,88.2895,0
2,28,1.069e+06,5.5594e+06,-4.4904e+06,87,29.8851,26,61,12287.4,213823,-73613.1,2.90469,4,10,23.5,7.62295,-1.5148e+06,1.23806,87.9112,0
2,29,1.2246e+06,5.5534e+06,-4.3288e+06,86,30.2326,26,60,14239.5,213592,-72146.7,2.96053,4,10,23.5,7.7,-1.5148e+06,1.2829,100.707,0
2,30,1.1608e+06,5.5482e+06,-4.3874e+06,86,30.2326,26,60,13497.7,213392,-73123.3,2.91825,4,10,23.5,7.7,-1.5148e+06,1.26458,95.4605,0
2,31,1.0596e+06,5.5446e+06,-4.485e+06,87,29.8851,26,61,12179.3,213254,-73524.6,2.90044,4,10,23.5,7.54098,-1.526e+06,1.23625,86.3429,0
2,32,958000,5.5324e+06,-4.5744e+06,87,29.8851,26,61,11011.5,212785,-74990.2,2.8375,4,10,23.5385,7.47541,-1.6016e+06,1.20943,73.0517,0
2,33,841200,5.521e+06,-4.6798e+06,87,29.8851,26,61,9668.97,212346,-76718,2.76788,4,10,23.5385,7.47541,-1.6728e+06,1.17975,60.8419,0
2,34,895400,5.5204e+06,-4.625e+06,85,30.5882,26,59,10534.1,212323,-78389.8,2.70855,4,10,23.5385,7.69492,-1.6728e+06,1.1936,64.762,0
2,35,804200,5.5204e+06,-4.7162e+06,85,30.5882,26,59,9461.18,212323,-79935.6,2.65618,4,10,23.5385,7.69492,-1.6728e+06,1.17052,58.1658,0
2,36,793400,5.5154e+06,-4.722e+06,84,29.7619,25,59,9445.24,220616,-80033.9,2.75653,4,10,22.48,8.45763,-1.6828e+06,1.16802,56.9726,0
2,37,849600,5.5104e+06,-4.6608e+06,83,28.9157,24,59,10236.1,229600,-78996.6,2.90645,4,10,21.8333,9.05085,-1.6396e+06,1.18229,63.3652,0
2,38,1.043e+06,5.5104e+06,-4.4674e+06,80,30,24,56,13037.5,229600,-79775,2.87809,4,10,21.8333,9.44643,-1.4812e+06,1.23347,88.2104,0
2,39,1.041e+06,5.5104e+06,-4.4694e+06,80,30,24,56,13012.5,229600,-79810.7,2.87681,4,10,21.8333,9.42857,-1.4812e+06,1.23292,88.0413,0
2,40,988600,5.5104e+06,-4.5218e+06,80,30,24,56,12357.5,229600,-80746.4,2.84347,4,10,21.8333,9.42857,-1.5118e+06,1.21863,80.9267,0
2,41,1.3312e+06,5.5104e+06,-4.1792e+06,76,31.5789,24,52,17515.8,229600,-80369.2,2.85681,4,10,21.8333,9.98077,-1.4812e+06,1.31853,112.585,0
